Latest Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,`Main.Time.Day[1]`,`Main.DancerAngle.deg`,`Main.NR1.w`,`Main.NR1_Velocity.'m/s'[1]`,`Main.NR2.w`,`Main.NR2_Velocity.'m/s'[1]`,`Main.PistonPressure.Pa`,`Main.WS1.vout`,`Main.WS2.v`,`Main.WS1.Tin`,`Main.WS2.T`,`Main.R1.summary_SlipVelocity`,`Main.R2.summary_SlipVelocity`,`Main.R3.summary_SlipVelocity`,`Main.R4.summary_SlipVelocity`,`Main.R5.summary_SlipVelocity`,`Main.R7.summary_SlipVelocity`,`Main.R8.summary_SlipVelocity`,`Main.R9.summary_SlipVelocity`,`Main.R10.summary_SlipVelocity`,`Main.R1.w`,`Main.R2.w`,`Main.R3.w`,`Main.R4.w`,`Main.R5.w`,`Main.R7.w`,`Main.R8.w`,`Main.R9.w`,`Main.R10.w`,`Main.S1.summary_Tension`,`Main.S2.summary_Tension`,`Main.S3.summary_Tension`,`Main.S4.summary_Tension`,`Main.S5.summary_Tension`,`Main.S6.summary_Tension`,`Main.S7.summary_Tension`,`Main.S8.summary_Tension`,`Main.S9.summary_Tension`,`Main.S10.summary_Tension`,`Main.S11.summary_Tension`,`Main.S12.summary_Tension`
0,0,-9.43706E-17,0,0,0,0,325956.2867,0.005,1.64708E-19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06876E-15,0,0,0,0,0,0,0,0,0,0,100
1296.648324,0.015007504,4.10795E-11,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,2.22045E-16,-3.33067E-16,0,-2.22045E-16,-6.66134E-16,-4.44089E-16,-4.44089E-16,-2.22045E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
2593.296648,0.030015008,-1.24044E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,3.33067E-16,0,1.11022E-16,1.11022E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
3889.944972,0.045022511,-4.91206E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,1.11022E-16,1.11022E-16,1.11022E-16,1.11022E-16,1.11022E-16,2.22045E-16,2.22045E-16,2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
5186.593297,0.060030015,-5.51559E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,-2.22045E-16,0,0,0,0,0,0,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
6483.241621,0.075037519,1.83965E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-4.44089E-16,-4.44089E-16,-4.44089E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
7779.889945,0.090045023,-5.71356E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,4.44089E-16,4.44089E-16,4.44089E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
9076.538269,0.105052526,-6.00151E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-3.33067E-16,-3.33067E-16,-6.66134E-16,-6.66134E-16,-6.66134E-16,-6.66134E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
10373.18659,0.12006003,-3.72812E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
11669.83492,0.135067534,-6.46186E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,-2.22045E-16,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
